,,trajeto 1,trajeto 2,trajeto 3,trajeto 4,ônibus,caminhão,Observção,
06:00,06:15,20,8,2,0,0,0,,30
06:15,06:30,39,16,0,0,1,3,,55
06:30,06:45,75,40,0,0,2,0,,115
06:45,07:00,122,46,0,2,0,0,,170
07:00,07:15,135,50,1,1,1,0,,187
07:15,07:30,122,35,0,0,0,1,,157
07:30,07:45,96,45,0,0,0,2,,141
07:45,08:00,105,45,0,0,0,2,,150
08:00,08:15,110,56,0,0,0,1,,166
08:15,08:30,121,50,0,1,0,6,,172
08:30,08:45,92,30,0,1,0,3,Passou 1 carroça ,123
08:45,09:00,126,33,0,3,0,4,,162
09:00,09:15,96,32,3,1,1,1,,132
09:15,09:30,89,30,2,2,0,0,,123
09:30,09:45,120,31,5,2,0,5,,158
09:45,10:00,102,23,1,0,0,2,,126
10:00,10:15,102,36,3,3,0,3,,144
10:15,10:30,101,30,2,2,0,1,,135
10:30,10:45,96,2,2,1,0,4,,101
10:45,11:00,86,24,4,0,0,3,,114
11:00,11:15,129,49,2,1,0,4,,181
11:15,11:30,117,39,3,4,1,0,,163
11:30,11:45,121,38,3,5,3,0,,167
11:45,12:00,168,29,10,7,0,3,,214
12:00,12:15,151,43,2,5,1,1,,201
12:15,12:30,97,40,4,1,1,0,,142
12:30,12:45,126,24,2,0,0,2,,152
12:45,13:00,146,43,3,2,0,2,,194
13:00,13:15,151,52,8,2,0,4,,213
13:15,13:30,145,32,1,4,0,5,,182
13:30,13:45,132,55,2,0,0,5,,189
13:45,14:00,165,46,7,5,0,3,,223
14:00,14:15,142,54,6,2,0,9,,204
14:15,14:30,150,76,3,1,1,5,,230
14:30,14:45,125,23,2,2,0,2,,152
14:45,15:00,135,47,6,4,0,5,,192
15:00,15:15,125,41,6,0,0,0,,172
15:15,15:30,105,25,4,3,0,2,,137
15:30,15:45,135,48,7,4,0,3,,194
15:45,16:00,118,35,4,3,0,1,,160
16:00,16:15,121,47,5,2,0,2,,175
16:15,16:30,134,33,4,0,1,0,,171
16:30,16:45,120,46,1,2,0,1,,169
16:45,17:00,150,51,5,1,0,2,,207
17:00,17:15,124,61,3,3,0,0,,191
17:15,17:30,131,50,1,3,2,2,,185
17:30,17:45,149,63,0,0,2,1,,212
17:45,18:00,140,52,0,0,1,1,,192
18:00,18:15,155,60,0,0,0,0,,215
18:15,18:30,125,43,2,0,0,0,,170
18:30,18:45,134,49,1,0,2,1,,184
18:45,19:00,114,48,3,0,1,3,,165
19:00,19:15,77,38,1,0,0,0,,116
19:15,19:30,97,47,1,0,0,1,,145
19:30,19:45,118,34,3,0,0,1,,155
19:45,20:00,97,49,2,0,0,0,,148
20:00,20:15,70,35,4,0,0,0,,109
20:15,20:30,70,33,4,0,0,0,,107
20:30,20:45,73,26,4,3,0,1,,106
20:45,21:00,49,24,2,0,0,2,,75
,,6886,2390,156,88,21,115,0,9520