,,trajeto 1,trajeto 2,trajeto 3,trajeto 4,trajeto 5,trajeto 6,trajeto 7,trajeto 8,trajeto 9,trajeto 10,trajeto 11,trajeto 12,mulher,
06:00,06:15,2,2,0,0,0,0,0,0,7,0,2,2,0,15
06:15,06:30,1,1,0,0,0,0,0,0,16,0,11,2,0,31
06:30,06:45,0,3,1,0,0,0,0,0,21,0,22,0,1,47
06:45,07:00,1,1,0,0,0,0,0,0,20,0,11,0,4,33
07:00,07:15,0,2,1,1,0,1,0,0,14,0,13,0,3,32
07:15,07:30,0,1,0,0,0,0,0,0,11,0,6,0,2,18
07:30,07:45,1,1,0,0,0,0,0,0,13,0,7,0,3,22
07:45,08:00,0,0,1,0,0,0,0,0,10,0,8,1,3,20
08:00,08:15,0,1,0,0,0,0,0,0,16,0,11,1,2,29
08:15,08:30,0,1,0,0,0,0,0,0,3,0,4,0,1,8
08:30,08:45,0,0,0,1,0,0,0,0,4,0,6,0,2,11
08:45,09:00,0,0,0,0,0,0,0,0,12,0,4,0,2,16
09:00,09:15,0,0,1,0,0,0,0,0,8,0,4,0,1,13
09:15,09:30,1,0,0,0,0,0,1,0,3,0,4,0,1,9
09:30,09:45,1,0,0,0,0,0,0,0,3,0,4,0,0,8
09:45,10:00,1,1,2,0,0,0,0,0,7,0,0,2,0,13
10:00,10:15,0,1,0,0,0,0,0,0,2,0,3,0,0,6
10:15,10:30,3,0,0,0,0,0,0,0,1,0,2,0,0,6
10:30,10:45,1,0,0,0,0,0,0,0,9,0,3,0,0,13
10:45,11:00,0,0,0,0,0,0,0,0,9,0,4,0,1,13
11:00,11:15,1,0,1,0,0,0,0,0,11,0,2,7,0,22
11:15,11:30,1,0,0,0,0,0,0,0,2,0,3,0,0,6
11:30,11:45,0,0,0,1,0,0,0,0,5,0,3,0,0,9
11:45,12:00,0,0,0,0,0,0,0,0,3,0,9,1,0,13
12:00,12:15,0,0,2,0,0,0,0,0,5,0,2,0,0,9
12:15,12:30,0,0,0,0,0,0,0,0,4,0,4,2,0,10
12:30,12:45,0,0,0,0,2,2,0,0,0,0,2,1,0,7
12:45,13:00,0,0,0,0,0,0,1,0,4,2,9,0,0,16
13:00,13:15,0,0,0,0,0,0,0,1,3,0,7,2,1,13
13:15,13:30,0,0,0,0,0,0,0,0,2,0,7,0,0,9
13:30,13:45,0,0,0,0,0,0,0,1,1,0,5,0,0,7
13:45,14:00,0,0,0,0,0,0,0,0,1,0,5,4,0,10
14:00,14:15,0,0,0,0,0,0,1,0,4,0,3,1,0,9
14:15,14:30,0,0,0,0,0,0,0,0,3,0,1,0,0,4
14:30,14:45,0,0,0,0,0,0,0,0,2,0,1,0,0,3
14:45,15:00,0,0,0,0,0,0,0,0,7,0,3,0,0,10
15:00,15:15,0,0,0,0,0,0,0,0,7,0,3,0,0,10
15:15,15:30,0,0,0,0,0,0,0,0,7,0,1,2,1,10
15:30,15:45,0,0,0,0,0,0,0,0,2,0,5,0,1,7
15:45,16:00,0,0,0,0,0,0,0,0,9,0,5,0,4,14
16:00,16:15,0,0,0,0,0,0,1,0,16,0,9,0,3,26
16:15,16:30,0,0,0,0,0,0,0,0,21,0,9,0,7,30
16:30,16:45,0,0,0,0,0,0,0,0,15,0,11,0,4,26
16:45,17:00,2,1,1,0,0,0,2,0,25,0,14,1,3,46
17:00,17:15,0,1,2,0,0,1,0,0,21,0,20,0,7,45
17:15,17:30,0,0,1,0,0,0,0,0,19,0,21,2,9,43
17:30,17:45,0,0,1,0,0,0,0,0,26,0,9,1,9,37
17:45,18:00,0,0,0,0,0,0,1,0,19,0,14,2,4,36
18:00,18:15,1,2,0,0,0,0,2,0,4,0,11,0,0,20
18:15,18:30,0,2,0,0,0,0,0,1,4,0,11,1,1,19
18:30,18:45,0,0,0,0,0,0,0,0,14,0,6,0,0,20
18:45,19:00,0,0,0,0,0,0,0,0,10,0,5,1,0,16
19:00,19:15,0,0,0,1,0,0,1,0,21,0,6,0,0,29
19:15,19:30,1,0,0,0,0,0,0,0,19,0,5,0,1,25
19:30,19:45,0,0,0,0,0,0,0,0,10,0,6,0,1,16
19:45,20:00,0,3,0,0,0,0,0,0,9,0,4,1,2,17
20:00,20:15,1,0,1,0,0,0,0,0,19,0,15,0,3,36
20:15,20:30,0,0,0,0,0,0,1,0,3,0,0,0,0,4
20:30,20:45,0,0,0,0,0,0,0,0,4,0,4,0,2,8
20:45,21:00,0,0,0,0,0,0,0,0,0,0,1,0,0,1
,,19,24,15,4,2,4,11,3,550,2,390,37,89,1061
,,,,,,,,,,,,,,"8,39%",