,,trajeto 1,trajeto 2,trajeto 3,trajeto 4,
06:00,06:15,24,6,3,0,33
06:15,06:30,35,12,0,0,47
06:30,06:45,79,23,0,0,102
06:45,07:00,89,43,0,2,134
07:00,07:15,90,54,0,1,145
07:15,07:30,63,40,0,0,103
07:30,07:45,56,33,0,0,89
07:45,08:00,95,57,2,1,155
08:00,08:15,74,40,1,0,115
08:15,08:30,40,32,1,0,73
08:30,08:45,70,47,2,1,120
08:45,09:00,42,12,0,2,56
09:00,09:15,37,13,0,1,51
09:15,09:30,33,16,0,0,49
09:30,09:45,36,11,1,1,49
09:45,10:00,34,10,0,0,44
10:00,10:15,45,18,0,1,64
10:15,10:30,42,18,0,1,61
10:30,10:45,41,16,0,0,57
10:45,11:00,49,14,1,0,64
11:00,11:15,60,33,0,0,93
11:15,11:30,48,26,1,0,75
11:30,11:45,47,28,0,0,75
11:45,12:00,69,13,5,4,91
12:00,12:15,47,15,0,0,62
12:15,12:30,34,11,1,1,47
12:30,12:45,43,10,0,0,53
12:45,13:00,67,14,2,1,84
13:00,13:15,38,25,1,0,64
13:15,13:30,52,17,1,0,70
13:30,13:45,35,25,0,0,60
13:45,14:00,42,26,0,2,70
14:00,14:15,55,14,1,0,70
14:15,14:30,48,9,0,0,57
14:30,14:45,35,8,1,1,45
14:45,15:00,42,17,1,2,62
15:00,15:15,33,8,0,0,41
15:15,15:30,53,4,0,0,57
15:30,15:45,69,9,0,1,79
15:45,16:00,41,10,1,0,52
16:00,16:15,57,20,1,0,78
16:15,16:30,51,12,0,0,63
16:30,16:45,40,20,0,0,60
16:45,17:00,77,19,0,0,96
17:00,17:15,75,23,1,1,100
17:15,17:30,52,9,0,0,61
17:30,17:45,50,19,0,0,69
17:45,18:00,51,25,0,0,76
18:00,18:15,48,38,3,1,90
18:15,18:30,54,21,0,1,76
18:30,18:45,63,19,0,0,82
18:45,19:00,57,19,0,0,76
19:00,19:15,48,16,0,0,64
19:15,19:30,39,14,0,0,53
19:30,19:45,33,5,0,0,38
19:45,20:00,26,8,0,0,34
20:00,20:15,34,15,0,0,49
20:15,20:30,38,15,0,0,53
20:30,20:45,34,5,0,0,39
20:45,21:00,23,9,0,0,32
,,2982,1168,31,26,4207