,,trajeto 1,trajeto 2,trajeto 3,trajeto 4,trajeto 5,trajeto 6,trajeto 7,trajeto 8,trajeto 9,trajeto 10,trajeto 11,trajeto 12,mulher,cachorro,
06:00,06:15,0,0,1,2,3,0,0,0,80,0,9,2,46,5,95
06:15,06:30,0,1,1,0,0,0,1,0,92,1,44,4,64,2,140
06:30,06:45,5,4,1,2,0,0,4,2,88,0,32,7,73,2,138
06:45,07:00,3,1,4,0,0,5,6,0,74,0,37,8,62,2,130
07:00,07:15,0,0,2,0,0,4,8,2,59,0,39,11,64,1,114
07:15,07:30,10,3,1,0,2,0,3,0,62,0,36,3,61,3,117
07:30,07:45,0,1,0,0,0,0,1,0,67,3,34,4,54,4,106
07:45,08:00,1,1,0,1,0,1,6,0,40,1,42,4,36,2,93
08:00,08:15,1,0,1,0,0,1,0,0,44,0,37,12,32,1,84
08:15,08:30,1,0,1,0,0,1,1,0,41,1,26,4,36,2,72
08:30,08:45,1,1,1,0,1,0,1,0,16,0,16,2,14,0,37
08:45,09:00,0,0,1,0,0,4,1,6,7,0,11,2,16,0,30
09:00,09:15,0,0,1,0,0,0,2,0,6,0,3,2,3,0,12
09:15,09:30,1,0,1,0,0,2,2,0,8,0,3,2,7,1,17
09:30,09:45,0,1,1,1,0,4,0,0,18,0,6,3,13,0,31
09:45,10:00,0,1,0,0,0,1,0,0,2,0,11,1,5,1,15
10:00,10:15,1,0,2,1,0,3,1,1,2,0,3,2,5,0,14
10:15,10:30,0,1,1,1,0,0,0,0,8,0,3,2,5,0,14
10:30,10:45,1,2,0,1,2,0,0,0,6,0,1,2,3,0,13
10:45,11:00,0,0,1,1,0,3,3,1,3,1,11,6,11,0,24
11:00,11:15,0,0,4,0,0,1,26,20,8,0,5,0,13,0,64
11:15,11:30,0,0,2,0,1,1,0,1,1,0,3,0,2,0,9
11:30,11:45,3,0,0,3,0,0,5,0,8,0,2,1,4,0,21
11:45,12:00,1,0,0,0,0,1,0,1,4,1,2,0,1,0,10
12:00,12:15,1,0,0,0,0,1,2,4,11,0,4,6,11,0,23
12:15,12:30,1,0,0,0,0,3,1,1,8,0,2,4,6,0,16
12:30,12:45,0,3,0,2,0,0,2,2,2,1,13,2,8,0,25
12:45,13:00,0,0,0,0,0,3,8,0,5,4,7,6,17,0,27
13:00,13:15,0,0,0,1,0,4,6,0,3,2,1,15,6,0,17
13:15,13:30,2,1,0,1,0,0,3,1,12,1,10,22,18,0,31
13:30,13:45,0,0,0,1,0,0,3,0,4,2,10,4,12,0,20
13:45,14:00,0,1,1,2,0,1,1,2,5,0,1,0,2,0,14
14:00,14:15,0,0,0,0,0,1,5,0,9,0,5,7,11,0,20
14:15,14:30,0,0,0,1,0,0,4,0,6,4,8,15,16,0,23
14:30,14:45,0,0,0,0,0,5,3,3,7,0,1,5,11,0,19
14:45,15:00,0,0,0,0,0,2,6,3,6,2,0,5,7,2,19
15:00,15:15,0,0,0,0,0,0,0,0,12,2,18,1,15,0,32
15:15,15:30,0,0,0,0,0,2,1,0,10,0,12,1,9,0,25
15:30,15:45,0,0,0,0,4,0,6,2,32,0,22,2,20,0,66
15:45,16:00,3,0,0,0,3,6,2,0,42,0,24,3,33,0,80
16:00,16:15,1,2,3,4,2,2,1,0,84,1,69,5,59,0,169
16:15,16:30,0,0,0,0,1,0,3,2,42,0,47,2,38,0,95
16:30,16:45,0,0,0,0,1,0,1,0,36,0,41,1,24,0,79
16:45,17:00,0,4,1,0,0,2,4,0,96,0,69,8,81,0,176
17:00,17:15,4,3,2,2,1,4,8,3,106,2,105,2,116,0,240
17:15,17:30,0,1,3,5,0,0,1,11,114,0,66,1,82,5,201
17:30,17:45,0,5,1,0,0,0,15,4,140,10,106,4,113,4,281
17:45,18:00,0,1,3,2,0,1,2,9,110,0,83,0,79,5,211
18:00,18:15,1,0,0,0,0,0,3,1,110,0,84,3,86,0,199
18:15,18:30,0,0,0,0,0,0,0,0,122,0,102,0,79,0,224
18:30,18:45,3,1,1,0,0,0,0,3,100,0,84,1,69,0,192
18:45,19:00,5,8,0,2,0,0,4,0,84,0,98,2,60,0,201
19:00,19:15,0,0,0,0,0,0,0,0,89,0,109,0,64,0,198
19:15,19:30,0,0,0,0,0,0,0,1,73,2,78,0,52,0,154
19:30,19:45,0,0,0,2,0,0,0,0,77,0,53,0,39,0,132
19:45,20:00,0,0,1,2,0,0,0,0,51,0,46,0,22,0,100
20:00,20:15,0,0,0,1,0,0,0,0,35,0,30,0,14,0,66
20:15,20:30,2,0,1,0,0,0,0,0,30,0,21,0,9,0,54
20:30,20:45,0,0,0,0,0,1,0,1,24,1,25,0,15,0,52
20:45,21:00,0,0,0,0,0,0,0,0,17,0,22,0,11,0,39
,,52,47,44,41,21,70,166,87,2458,42,1892,211,1944,42,4920
,,,,,,,,,,,,,,"39,51%",,