,,trajeto 1,trajeto 2,trajeto 3,trajeto 4,trajeto 5,trajeto 6,trajeto 7,trajeto 8,caminhão,ônibus,total,
06:00,06:15,,,,,,,,,,,,
06:15,06:30,175,67,83,5,10,130,3,60,5,14,552,
06:30,06:45,140,45,60,10,10,84,30,60,7,10,456,
06:45,07:00,296,139,55,15,20,174,23,109,12,11,854,
07:00,07:15,285,187,138,29,22,174,0,143,18,15,1011,
07:15,07:30,158,164,145,38,21,106,0,137,9,10,788,
07:30,07:45,139,189,125,45,38,139,0,115,8,10,808,
07:45,08:00,173,172,137,33,23,255,0,190,6,6,995,
08:00,08:15,242,234,127,43,22,255,0,190,8,7,1128,
08:15,08:30,168,179,82,24,17,139,0,109,9,7,734,
08:30,08:45,172,149,116,25,12,192,0,213,15,9,903,
08:45,09:00,187,172,110,35,18,179,0,116,3,4,824,
09:00,09:15,168,144,182,19,6,130,10,158,15,7,839,
09:15,09:30,107,84,93,15,5,36,1,116,13,6,476,
09:30,09:45,133,118,134,16,8,72,11,136,14,5,647,
09:45,10:00,173,159,144,25,10,69,4,142,8,25,759,
10:00,10:15,144,150,144,24,8,94,5,172,19,7,767,
10:15,10:30,120,96,160,25,13,103,1,158,21,8,705,
10:30,10:45,98,90,154,20,9,78,4,133,25,4,615,
10:45,11:00,106,104,166,22,11,80,7,173,24,9,702,
11:00,11:15,141,110,147,16,12,88,6,194,16,5,735,
11:15,11:30,164,33,204,35,21,124,6,177,41,15,820,
11:30,11:45,203,44,85,37,8,120,7,170,21,13,708,
11:45,12:00,166,51,178,52,16,121,7,215,18,16,840,
12:00,12:15,100,52,167,13,2,84,93,154,7,4,676,
12:15,12:30,126,76,170,18,12,44,49,224,4,3,726,
12:30,12:45,178,69,172,15,18,68,104,229,6,6,865,
12:45,13:00,169,126,166,17,10,96,74,175,3,3,839,
13:00,13:15,169,101,186,5,132,18,6,175,3,3,798,
13:15,13:30,152,135,138,15,6,57,57,179,5,2,746,
13:30,13:45,140,133,136,11,12,96,3,178,9,2,720,
13:45,14:00,188,110,182,19,19,118,1,160,2,0,799,
14:00,14:15,211,142,203,19,13,117,3,204,10,2,924,
14:15,14:30,210,159,145,25,14,126,4,176,12,3,874,
14:30,14:45,176,134,158,20,19,91,1,179,13,4,795,
14:45,15:00,167,144,160,28,15,106,7,139,11,4,781,
15:00,15:15,157,144,122,32,11,78,3,185,5,4,741,
15:15,15:30,140,114,43,118,9,112,1,186,15,9,747,
15:30,15:45,119,178,155,28,14,95,2,168,10,5,774,
15:45,16:00,136,137,146,22,18,88,3,183,12,7,752,
16:00,16:15,119,117,164,25,13,102,6,190,12,6,754,
16:15,16:30,128,139,155,56,13,106,7,235,13,5,857,
16:30,16:45,96,103,161,26,11,68,2,175,20,5,667,
16:45,17:00,188,134,134,25,9,17,0,188,4,5,704,
17:00,17:15,175,162,163,38,15,121,4,89,8,10,785,
17:15,17:30,188,144,164,40,12,162,7,224,9,11,961,
17:30,17:45,139,150,206,43,12,146,11,179,13,7,906,
17:45,18:00,158,127,146,27,11,145,8,206,7,29,864,
18:00,18:15,61,9,89,0,19,103,23,260,6,20,590,
18:15,18:30,81,0,65,6,11,197,4,222,9,24,619,
18:30,18:45,46,0,151,0,18,146,2,193,6,10,572,
18:45,19:00,59,0,89,0,14,73,4,209,4,5,457,
19:00,19:15,30,0,109,0,5,107,8,186,5,7,457,
19:15,19:30,54,0,52,0,9,64,2,141,4,0,326,
19:30,19:45,11,0,45,3,2,81,6,150,1,4,303,
19:45,20:00,11,0,51,0,0,59,0,133,1,2,257,
20:00,20:15,26,0,47,0,2,81,1,141,1,1,300,
20:15,20:30,26,9,22,0,2,72,0,104,1,1,237,
20:30,20:45,25,0,38,0,1,46,0,111,0,0,221,
20:45,21:00,27,0,67,0,3,74,4,105,1,0,281,
,,8044,5928,7536,1302,846,6306,635,9721,587,436,41341,TOTAL