,,trajeto 1,trajeto 2,trajeto 3,trajeto 4,trajeto 5,trajeto 6,trajeto 7,trajeto 8,total,
06:00,06:15,11,4,11,1,0,9,0,10,46,
06:15,06:30,14,19,34,0,0,22,0,35,124,
06:30,06:45,38,21,43,4,1,29,1,79,216,
06:45,07:00,57,33,76,3,0,23,0,83,275,
07:00,07:15,69,39,68,5,0,48,0,92,321,
07:15,07:30,65,40,79,4,1,31,0,79,299,
07:30,07:45,78,46,68,10,1,42,0,65,310,
07:45,08:00,118,55,100,6,3,51,0,77,410,
08:00,08:15,89,51,90,4,1,46,0,63,344,
08:15,08:30,79,34,64,3,0,49,0,68,297,
08:30,08:45,48,28,54,6,0,46,0,61,243,
08:45,09:00,66,37,46,10,1,14,1,73,248,
09:00,09:15,70,37,90,8,0,56,0,71,332,
09:15,09:30,45,25,40,9,0,44,3,50,216,
09:30,09:45,105,7,88,5,2,59,0,63,329,
09:45,10:00,100,13,70,3,5,37,3,44,275,
10:00,10:15,80,6,81,0,0,57,0,61,285,
10:15,10:30,54,0,70,5,3,70,0,56,258,
10:30,10:45,65,3,95,2,1,57,3,44,270,
10:45,11:00,85,5,100,0,2,52,2,67,313,
11:00,11:15,105,10,90,6,5,70,3,86,375,
11:15,11:30,104,0,115,3,3,53,5,69,352,
11:30,11:45,100,14,125,5,0,83,0,67,394,
11:45,12:00,105,0,100,7,5,63,5,79,364,
12:00,12:15,60,33,114,7,0,71,0,77,362,
12:15,12:30,69,25,111,6,0,69,1,91,372,
12:30,12:45,55,34,92,10,0,67,0,54,312,
12:45,13:00,72,44,76,13,1,52,0,97,355,
13:00,13:15,80,45,75,10,1,69,0,86,366,
13:15,13:30,65,40,87,5,4,53,0,85,339,
13:30,13:45,84,25,73,2,4,46,1,79,314,
13:45,14:00,102,47,77,8,2,66,0,68,370,
14:00,14:15,110,62,79,81,6,2,0,90,430,
14:15,14:30,79,39,60,12,5,47,0,70,312,
14:30,14:45,100,39,68,6,3,33,0,80,329,
14:45,15:00,79,35,67,9,8,71,0,71,340,
15:00,15:15,74,30,96,6,8,58,0,64,336,
15:15,15:30,83,29,61,13,5,69,1,77,338,
15:30,15:45,75,41,91,6,2,74,0,63,352,
15:45,16:00,65,48,112,7,4,70,0,54,360,
16:00,16:15,74,37,103,9,11,59,0,78,371,
16:15,16:30,61,40,90,2,1,60,0,64,318,
16:30,16:45,66,28,130,6,5,34,0,76,345,
16:45,17:00,67,36,105,9,2,11,0,103,333,
17:00,17:15,79,63,123,7,5,54,0,79,410,
17:15,17:30,75,50,129,4,2,39,0,83,382,
17:30,17:45,72,35,82,3,1,69,0,72,334,
17:45,18:00,53,51,80,3,1,59,0,76,323,
18:00,18:15,73,37,89,53,0,76,0,92,420,
18:15,18:30,67,18,79,10,0,57,0,70,301,
18:30,18:45,25,1,58,0,0,38,0,63,185,
18:45,19:00,35,28,71,2,0,53,0,70,259,
19:00,19:15,21,25,81,5,0,58,0,72,262,
19:15,19:30,19,20,59,3,0,27,0,50,178,
19:30,19:45,20,17,42,0,0,22,0,36,137,
19:45,20:00,22,20,42,0,0,32,0,38,154,
20:00,20:15,28,35,46,0,0,25,0,38,172,
20:15,20:30,14,19,35,0,0,22,0,19,109,
20:30,20:45,16,18,30,8,0,17,0,24,113,
20:45,21:00,18,26,31,0,0,31,0,25,131,
,,3907,1747,4641,434,115,2871,29,3976,17720,TOTAL