,,trajeto 1,trajeto 2,trajeto 3,ônibus,caminhão,
06:00,06:15,2,13,7,1,0,22
06:15,06:30,2,32,3,5,2,37
06:30,06:45,3,50,1,1,1,54
06:45,07:00,6,99,7,7,4,112
07:00,07:15,12,95,15,3,4,122
07:15,07:30,9,97,8,5,0,114
07:30,07:45,8,108,11,0,2,127
07:45,08:00,6,129,9,1,5,144
08:00,08:15,7,112,7,1,2,126
08:15,08:30,6,117,13,1,3,136
08:30,08:45,12,132,6,2,5,150
08:45,09:00,3,131,9,3,5,143
09:00,09:15,8,106,13,1,5,127
09:15,09:30,9,122,6,3,2,137
09:30,09:45,11,108,7,1,2,126
09:45,10:00,10,128,9,2,3,147
10:00,10:15,7,121,10,2,8,138
10:15,10:30,8,103,7,3,2,118
10:30,10:45,12,130,10,0,3,152
10:45,11:00,5,137,17,4,8,159
11:00,11:15,12,116,10,3,5,138
11:15,11:30,9,125,8,2,1,142
11:30,11:45,12,143,20,3,4,175
11:45,12:00,14,127,19,3,7,160
12:00,12:15,8,149,16,0,4,173
12:15,12:30,14,141,8,4,4,163
12:30,12:45,10,95,16,1,4,121
12:45,13:00,14,104,8,4,4,126
13:00,13:15,10,121,7,2,3,138
13:15,13:30,9,126,14,3,6,149
13:30,13:45,6,119,9,2,4,134
13:45,14:00,7,140,6,0,2,153
14:00,14:15,13,141,17,2,7,171
14:15,14:30,7,129,15,2,0,151
14:30,14:45,16,114,5,1,5,135
14:45,15:00,7,121,16,2,3,144
15:00,15:15,13,112,11,3,2,136
15:15,15:30,9,140,15,1,3,164
15:30,15:45,18,104,8,2,7,130
15:45,16:00,15,128,9,3,4,152
16:00,16:15,10,152,10,0,4,172
16:15,16:30,14,142,9,1,4,165
16:30,16:45,17,135,16,0,4,168
16:45,17:00,16,140,15,2,8,171
17:00,17:15,15,127,10,4,5,152
17:15,17:30,19,140,5,2,2,164
17:30,17:45,25,158,12,4,3,195
17:45,18:00,20,115,2,6,10,137
18:00,18:15,20,103,9,7,0,132
18:15,18:30,27,127,12,11,8,166
18:30,18:45,23,96,10,6,3,129
18:45,19:00,21,92,11,1,2,124
19:00,19:15,16,92,14,1,2,122
19:15,19:30,25,69,10,1,2,104
19:30,19:45,12,57,12,1,1,81
19:45,20:00,10,59,5,1,0,74
20:00,20:15,5,94,8,1,1,107
20:15,20:30,10,52,6,0,2,68
20:30,20:45,5,63,1,1,3,69
20:45,21:00,7,73,9,0,1,89
,,686,6651,598,139,210,7935