,,trajeto 1,trajeto 2,trajeto 3,trajeto 4,trajeto 5,trajeto 6,trajeto 7,trajeto 8,trajeto 9,mulher ,na cal̤ada,
06:00,06:15,6,0,0,0,0,3,2,3,0,0,0,14
06:15,06:30,0,0,1,0,0,4,4,20,11,0,0,40
06:30,06:45,0,2,2,0,1,4,4,8,14,7,1,35
06:45,07:00,0,3,0,0,0,1,4,11,10,7,0,29
07:00,07:15,0,2,0,0,2,0,1,9,15,2,0,29
07:15,07:30,0,2,3,0,0,6,2,11,7,3,0,31
07:30,07:45,1,6,0,0,1,4,5,12,7,1,0,36
07:45,08:00,0,0,0,0,1,1,2,13,5,0,0,22
08:00,08:15,0,1,0,0,0,0,1,7,7,1,0,16
08:15,08:30,0,1,1,0,0,2,4,10,5,2,0,23
08:30,08:45,1,1,0,0,3,7,1,3,4,2,0,20
08:45,09:00,0,1,3,0,1,0,0,3,8,3,0,16
09:00,09:15,0,0,0,0,1,2,0,2,7,1,0,12
09:15,09:30,0,0,2,0,1,2,0,1,5,0,0,11
09:30,09:45,0,0,0,0,1,5,1,5,2,0,0,14
09:45,10:00,2,1,0,0,0,2,0,7,3,2,0,15
10:00,10:15,0,0,0,0,0,3,0,5,2,3,0,10
10:15,10:30,0,0,0,0,0,1,1,1,1,0,0,4
10:30,10:45,0,0,1,0,0,0,1,1,2,1,0,5
10:45,11:00,0,0,0,0,3,1,1,2,1,0,0,8
11:00,11:15,0,0,2,0,2,1,1,6,3,0,0,15
11:15,11:30,0,0,1,0,3,2,0,0,1,0,0,7
11:30,11:45,0,0,1,0,0,1,1,6,3,0,0,12
11:45,12:00,0,0,0,0,0,1,1,2,2,0,0,6
12:00,12:15,0,1,1,0,1,0,1,0,3,0,0,7
12:15,12:30,0,1,0,0,0,0,2,0,1,0,0,4
12:30,12:45,0,1,0,0,1,0,1,2,2,0,0,7
12:45,13:00,1,0,2,0,0,2,0,2,1,0,0,8
13:00,13:15,0,0,1,0,1,1,2,2,0,0,0,7
13:15,13:30,0,0,0,0,2,1,0,3,2,0,0,8
13:30,13:45,0,0,0,0,0,0,0,4,5,0,0,9
13:45,14:00,2,0,1,0,1,3,1,1,2,0,0,11
14:00,14:15,1,0,0,0,1,1,1,2,0,0,0,6
14:15,14:30,0,0,0,0,0,0,0,1,1,0,0,2
14:30,14:45,0,0,0,0,1,0,0,1,0,0,0,2
14:45,15:00,0,0,1,0,0,1,0,0,3,0,0,5
15:00,15:15,0,0,0,0,0,3,2,2,0,1,0,7
15:15,15:30,0,1,0,0,1,3,0,2,1,1,1,8
15:30,15:45,0,0,1,0,1,0,0,5,0,1,0,7
15:45,16:00,0,0,0,0,0,0,0,5,2,0,0,7
16:00,16:15,0,0,0,0,0,1,1,5,4,2,0,11
16:15,16:30,1,0,1,0,0,1,0,15,5,5,0,23
16:30,16:45,0,0,2,0,2,4,0,24,1,4,0,33
16:45,17:00,0,0,3,0,4,10,0,27,5,11,0,49
17:00,17:15,0,0,4,0,1,8,1,14,5,3,0,33
17:15,17:30,0,0,1,0,1,6,0,16,8,6,0,32
17:30,17:45,0,0,1,0,0,2,0,23,9,4,0,35
17:45,18:00,0,0,1,0,0,3,1,13,8,6,0,26
18:00,18:15,2,0,1,0,0,3,0,12,6,2,0,24
18:15,18:30,0,1,0,0,0,1,0,8,9,7,0,19
18:30,18:45,0,0,0,0,0,1,0,9,10,3,0,20
18:45,19:00,0,0,0,0,0,1,0,9,10,2,0,20
19:00,19:15,0,1,0,1,0,0,0,6,10,0,0,18
19:15,19:30,0,0,0,0,0,0,0,11,10,0,1,21
19:30,19:45,0,0,0,0,0,1,0,20,7,0,0,28
19:45,20:00,0,0,0,0,1,1,1,15,7,2,0,25
20:00,20:15,0,0,0,0,0,0,0,10,11,1,0,21
20:15,20:30,0,0,0,0,0,0,1,2,4,0,0,7
20:30,20:45,0,0,1,0,0,0,1,1,3,0,0,6
20:45,21:00,0,0,0,0,1,1,0,2,2,0,0,6
,,17,26,39,1,40,112,53,422,282,96,3,992
,,,,,,,,,,,"9,68%",,