,,trajeto 1,trajeto 2,trajeto 3,
06:00,06:15,0,12,3,15
06:15,06:30,0,31,1,32
06:30,06:45,0,35,3,38
06:45,07:00,3,55,4,62
07:00,07:15,2,39,2,43
07:15,07:30,2,42,4,48
07:30,07:45,1,50,0,51
07:45,08:00,0,62,4,66
08:00,08:15,1,38,2,41
08:15,08:30,1,47,3,51
08:30,08:45,1,36,3,40
08:45,09:00,4,48,8,60
09:00,09:15,0,36,2,38
09:15,09:30,2,45,3,50
09:30,09:45,0,48,3,51
09:45,10:00,1,53,5,59
10:00,10:15,2,41,7,50
10:15,10:30,2,52,7,61
10:30,10:45,2,49,3,54
10:45,11:00,1,46,1,48
11:00,11:15,1,62,4,67
11:15,11:30,1,48,6,55
11:30,11:45,4,72,2,78
11:45,12:00,2,64,1,67
12:00,12:15,4,69,1,74
12:15,12:30,0,44,1,45
12:30,12:45,1,49,1,51
12:45,13:00,0,42,5,47
13:00,13:15,4,54,1,59
13:15,13:30,1,60,3,64
13:30,13:45,3,43,4,50
13:45,14:00,1,56,1,58
14:00,14:15,2,49,1,52
14:15,14:30,1,44,0,45
14:30,14:45,5,57,2,64
14:45,15:00,0,64,1,65
15:00,15:15,0,42,6,48
15:15,15:30,0,47,1,48
15:30,15:45,2,61,0,63
15:45,16:00,0,35,1,36
16:00,16:15,1,57,3,61
16:15,16:30,0,63,1,64
16:30,16:45,1,55,6,62
16:45,17:00,3,77,2,82
17:00,17:15,2,49,0,51
17:15,17:30,1,65,0,66
17:30,17:45,3,69,0,72
17:45,18:00,3,57,4,64
18:00,18:15,2,67,1,70
18:15,18:30,3,58,3,64
18:30,18:45,5,50,6,61
18:45,19:00,3,56,5,64
19:00,19:15,3,44,2,49
19:15,19:30,0,42,1,43
19:30,19:45,4,30,2,36
19:45,20:00,2,43,3,48
20:00,20:15,2,43,0,45
20:15,20:30,0,17,0,17
20:30,20:45,0,29,3,32
20:45,21:00,1,13,1,15
,,96,2911,153,3160