,,trajeto 1,trajeto 2,trajeto 3,trajeto 4,trajeto 5,trajeto 6,trajeto 7,trajeto 8,trajeto 9,mulher,fora da faixa,cachorro,total
06:00,06:15,0,0,0,0,0,4,0,68,17,46,,1,89
06:15,06:30,0,0,0,0,1,5,1,98,29,70,,3,134
06:30,06:45,1,1,1,1,2,8,1,73,32,59,,1,120
06:45,07:00,1,4,0,0,3,15,8,61,28,60,,1,120
07:00,07:15,0,2,2,0,2,5,1,56,31,45,,-,99
07:15,07:30,7,1,0,1,0,10,3,62,41,64,,3,125
07:30,07:45,1,0,0,0,0,2,6,63,33,56,,-,105
07:45,08:00,3,2,1,0,3,3,3,37,30,42,,2,82
08:00,08:15,2,7,0,0,2,4,4,33,14,35,,3,66
08:15,08:30,1,5,0,1,1,6,2,34,19,22,,1,69
08:30,08:45,6,0,6,1,1,5,6,21,28,32,,-,74
08:45,09:00,2,4,1,0,2,2,4,14,15,17,,1,44
09:00,09:15,12,2,4,1,2,0,3,19,6,17,,-,49
09:15,09:30,8,2,2,0,1,4,6,6,5,12,,-,34
09:30,09:45,2,1,0,1,3,1,7,11,4,10,,-,30
09:45,10:00,7,1,1,0,4,1,6,11,8,17,,-,39
10:00,10:15,5,2,2,0,2,2,3,4,2,8,,-,22
10:15,10:30,2,1,0,0,2,0,5,4,5,7,,-,19
10:30,10:45,12,2,0,0,2,3,4,3,2,6,,-,28
10:45,11:00,3,0,0,4,4,2,2,7,0,9,,-,22
11:00,11:15,4,5,6,0,4,3,3,1,2,8,,-,28
11:15,11:30,4,0,0,0,1,0,3,2,0,2,,-,10
11:30,11:45,2,1,1,0,3,2,6,23,3,23,,-,41
11:45,12:00,3,0,2,0,6,2,5,2,4,7,,-,24
12:00,12:15,11,0,0,0,2,1,2,1,1,10,,-,18
12:15,12:30,3,1,2,0,2,0,4,3,1,2,,-,16
12:30,12:45,5,1,5,0,1,1,5,1,0,2,,-,19
12:45,13:00,2,0,0,0,0,1,0,1,1,2,,-,5
13:00,13:15,2,0,1,2,1,3,3,0,2,4,,-,14
13:15,13:30,17,4,0,0,5,2,11,0,3,24,,-,42
13:30,13:45,3,1,1,0,1,1,13,0,6,10,,1,26
13:45,14:00,4,1,0,0,3,0,4,0,2,5,,-,14
14:00,14:15,5,2,1,2,2,1,4,0,2,11,,-,19
14:15,14:30,4,0,1,0,3,3,2,5,5,10,,-,23
14:30,14:45,0,1,3,0,1,0,6,5,4,12,,-,20
14:45,15:00,4,4,3,3,1,5,3,5,1,15,,-,29
15:00,15:15,3,1,2,0,0,3,3,5,7,4,,-,24
15:15,15:30,6,2,1,0,0,1,3,1,5,5,,-,19
15:30,15:45,3,0,2,0,3,6,4,10,1,11,,-,29
15:45,16:00,4,0,0,0,4,2,3,17,20,17,,-,50
16:00,16:15,6,0,1,0,2,0,3,16,20,9,,-,48
16:15,16:30,4,2,2,1,2,2,3,41,53,39,,-,110
16:30,16:45,8,4,1,2,0,0,2,51,53,53,,-,121
16:45,17:00,0,2,0,2,3,0,0,65,61,63,,-,133
17:00,17:15,6,0,0,1,2,0,0,93,84,53,,-,186
17:15,17:30,1,1,2,0,1,0,4,124,91,83,,-,224
17:30,17:45,3,3,1,0,2,0,2,133,63,73,,,207
17:45,18:00,0,2,4,0,1,0,7,119,108,75,,,241
18:00,18:15,1,1,0,5,0,1,1,104,78,56,,,191
18:15,18:30,0,2,0,0,0,0,3,106,101,77,,,212
18:30,18:45,1,2,1,0,3,2,0,85,105,60,,,199
18:45,19:00,0,1,2,0,4,2,0,106,108,82,,,223
19:00,19:15,0,0,4,0,4,2,1,87,102,66,,,200
19:15,19:30,0,0,0,1,0,1,0,94,80,63,,,176
19:30,19:45,0,4,0,0,0,0,0,89,78,63,,,171
19:45,20:00,0,0,0,0,0,0,1,72,51,40,,,124
20:00,20:15,1,0,0,0,2,5,2,42,39,25,,,91
20:15,20:30,0,0,2,1,0,4,0,35,38,23,,,80
20:30,20:45,1,0,0,2,0,0,0,30,31,24,,,64
20:45,21:00,0,0,0,0,6,1,1,25,21,17,,,54
,,196,85,71,32,112,139,192,2284,1784,1862,4895,,
,,,,,,,,,,,"38,04%",,,