"horario.inicial","horario.final","onibus","caminhao","total","local","carros"
"06:00","06:15",0,0,30,"bobs",30
"06:15","06:30",1,3,55,"bobs",51
"06:30","06:45",2,0,115,"bobs",113
"06:45","07:00",0,0,170,"bobs",170
"07:00","07:15",1,0,187,"bobs",186
"07:15","07:30",0,1,157,"bobs",156
"07:30","07:45",0,2,141,"bobs",139
"07:45","08:00",0,2,150,"bobs",148
"08:00","08:15",0,1,166,"bobs",165
"08:15","08:30",0,6,172,"bobs",166
"08:30","08:45",0,3,123,"bobs",120
"08:45","09:00",0,4,162,"bobs",158
"09:00","09:15",1,1,132,"bobs",130
"09:15","09:30",0,0,123,"bobs",123
"09:30","09:45",0,5,158,"bobs",153
"09:45","10:00",0,2,126,"bobs",124
"10:00","10:15",0,3,144,"bobs",141
"10:15","10:30",0,1,135,"bobs",134
"10:30","10:45",0,4,101,"bobs",97
"10:45","11:00",0,3,114,"bobs",111
"11:00","11:15",0,4,181,"bobs",177
"11:15","11:30",1,0,163,"bobs",162
"11:30","11:45",3,0,167,"bobs",164
"11:45","12:00",0,3,214,"bobs",211
"12:00","12:15",1,1,201,"bobs",199
"12:15","12:30",1,0,142,"bobs",141
"12:30","12:45",0,2,152,"bobs",150
"12:45","13:00",0,2,194,"bobs",192
"13:00","13:15",0,4,213,"bobs",209
"13:15","13:30",0,5,182,"bobs",177
"13:30","13:45",0,5,189,"bobs",184
"13:45","14:00",0,3,223,"bobs",220
"14:00","14:15",0,9,204,"bobs",195
"14:15","14:30",1,5,230,"bobs",224
"14:30","14:45",0,2,152,"bobs",150
"14:45","15:00",0,5,192,"bobs",187
"15:00","15:15",0,0,172,"bobs",172
"15:15","15:30",0,2,137,"bobs",135
"15:30","15:45",0,3,194,"bobs",191
"15:45","16:00",0,1,160,"bobs",159
"16:00","16:15",0,2,175,"bobs",173
"16:15","16:30",1,0,171,"bobs",170
"16:30","16:45",0,1,169,"bobs",168
"16:45","17:00",0,2,207,"bobs",205
"17:00","17:15",0,0,191,"bobs",191
"17:15","17:30",2,2,185,"bobs",181
"17:30","17:45",2,1,212,"bobs",209
"17:45","18:00",1,1,192,"bobs",190
"18:00","18:15",0,0,215,"bobs",215
"18:15","18:30",0,0,170,"bobs",170
"18:30","18:45",2,1,184,"bobs",181
"18:45","19:00",1,3,165,"bobs",161
"19:00","19:15",0,0,116,"bobs",116
"19:15","19:30",0,1,145,"bobs",144
"19:30","19:45",0,1,155,"bobs",154
"19:45","20:00",0,0,148,"bobs",148
"20:00","20:15",0,0,109,"bobs",109
"20:15","20:30",0,0,107,"bobs",107
"20:30","20:45",0,1,106,"bobs",105
"20:45","21:00",0,2,75,"bobs",73
"06:15","06:30",14,5,533,"burrinhos",514
"06:30","06:45",10,7,439,"burrinhos",422
"06:45","07:00",11,12,831,"burrinhos",808
"07:00","07:15",15,18,978,"burrinhos",945
"07:15","07:30",10,9,769,"burrinhos",750
"07:30","07:45",10,8,790,"burrinhos",772
"07:45","08:00",6,6,983,"burrinhos",971
"08:00","08:15",7,8,1113,"burrinhos",1098
"08:15","08:30",7,9,718,"burrinhos",702
"08:30","08:45",9,15,879,"burrinhos",855
"08:45","09:00",4,3,817,"burrinhos",810
"09:00","09:15",7,15,817,"burrinhos",795
"09:15","09:30",6,13,457,"burrinhos",438
"09:30","09:45",5,14,628,"burrinhos",609
"09:45","10:00",25,8,726,"burrinhos",693
"10:00","10:15",7,19,741,"burrinhos",715
"10:15","10:30",8,21,676,"burrinhos",647
"10:30","10:45",4,25,586,"burrinhos",557
"10:45","11:00",9,24,669,"burrinhos",636
"11:00","11:15",5,16,714,"burrinhos",693
"11:15","11:30",15,41,764,"burrinhos",708
"11:30","11:45",13,21,674,"burrinhos",640
"11:45","12:00",16,18,806,"burrinhos",772
"12:00","12:15",4,7,665,"burrinhos",654
"12:15","12:30",3,4,719,"burrinhos",712
"12:30","12:45",6,6,853,"burrinhos",841
"12:45","13:00",3,3,833,"burrinhos",827
"13:00","13:15",3,3,792,"burrinhos",786
"13:15","13:30",2,5,739,"burrinhos",732
"13:30","13:45",2,9,709,"burrinhos",698
"13:45","14:00",0,2,797,"burrinhos",795
"14:00","14:15",2,10,912,"burrinhos",900
"14:15","14:30",3,12,859,"burrinhos",844
"14:30","14:45",4,13,778,"burrinhos",761
"14:45","15:00",4,11,766,"burrinhos",751
"15:00","15:15",4,5,732,"burrinhos",723
"15:15","15:30",9,15,723,"burrinhos",699
"15:30","15:45",5,10,759,"burrinhos",744
"15:45","16:00",7,12,733,"burrinhos",714
"16:00","16:15",6,12,736,"burrinhos",718
"16:15","16:30",5,13,839,"burrinhos",821
"16:30","16:45",5,20,642,"burrinhos",617
"16:45","17:00",5,4,695,"burrinhos",686
"17:00","17:15",10,8,767,"burrinhos",749
"17:15","17:30",11,9,941,"burrinhos",921
"17:30","17:45",7,13,886,"burrinhos",866
"17:45","18:00",29,7,828,"burrinhos",792
"18:00","18:15",20,6,564,"burrinhos",538
"18:15","18:30",24,9,586,"burrinhos",553
"18:30","18:45",10,6,556,"burrinhos",540
"18:45","19:00",5,4,448,"burrinhos",439
"19:00","19:15",7,5,445,"burrinhos",433
"19:15","19:30",0,4,322,"burrinhos",318
"19:30","19:45",4,1,298,"burrinhos",293
"19:45","20:00",2,1,254,"burrinhos",251
"20:00","20:15",1,1,298,"burrinhos",296
"20:15","20:30",1,1,235,"burrinhos",233
"20:30","20:45",0,0,221,"burrinhos",221
"20:45","21:00",0,1,280,"burrinhos",279
"06:00","06:15",1,0,22,"jackson",21
"06:15","06:30",5,2,37,"jackson",30
"06:30","06:45",1,1,54,"jackson",52
"06:45","07:00",7,4,112,"jackson",101
"07:00","07:15",3,4,122,"jackson",115
"07:15","07:30",5,0,114,"jackson",109
"07:30","07:45",0,2,127,"jackson",125
"07:45","08:00",1,5,144,"jackson",138
"08:00","08:15",1,2,126,"jackson",123
"08:15","08:30",1,3,136,"jackson",132
"08:30","08:45",2,5,150,"jackson",143
"08:45","09:00",3,5,143,"jackson",135
"09:00","09:15",1,5,127,"jackson",121
"09:15","09:30",3,2,137,"jackson",132
"09:30","09:45",1,2,126,"jackson",123
"09:45","10:00",2,3,147,"jackson",142
"10:00","10:15",2,8,138,"jackson",128
"10:15","10:30",3,2,118,"jackson",113
"10:30","10:45",0,3,152,"jackson",149
"10:45","11:00",4,8,159,"jackson",147
"11:00","11:15",3,5,138,"jackson",130
"11:15","11:30",2,1,142,"jackson",139
"11:30","11:45",3,4,175,"jackson",168
"11:45","12:00",3,7,160,"jackson",150
"12:00","12:15",0,4,173,"jackson",169
"12:15","12:30",4,4,163,"jackson",155
"12:30","12:45",1,4,121,"jackson",116
"12:45","13:00",4,4,126,"jackson",118
"13:00","13:15",2,3,138,"jackson",133
"13:15","13:30",3,6,149,"jackson",140
"13:30","13:45",2,4,134,"jackson",128
"13:45","14:00",0,2,153,"jackson",151
"14:00","14:15",2,7,171,"jackson",162
"14:15","14:30",2,0,151,"jackson",149
"14:30","14:45",1,5,135,"jackson",129
"14:45","15:00",2,3,144,"jackson",139
"15:00","15:15",3,2,136,"jackson",131
"15:15","15:30",1,3,164,"jackson",160
"15:30","15:45",2,7,130,"jackson",121
"15:45","16:00",3,4,152,"jackson",145
"16:00","16:15",0,4,172,"jackson",168
"16:15","16:30",1,4,165,"jackson",160
"16:30","16:45",0,4,168,"jackson",164
"16:45","17:00",2,8,171,"jackson",161
"17:00","17:15",4,5,152,"jackson",143
"17:15","17:30",2,2,164,"jackson",160
"17:30","17:45",4,3,195,"jackson",188
"17:45","18:00",6,10,137,"jackson",121
"18:00","18:15",7,0,132,"jackson",125
"18:15","18:30",11,8,166,"jackson",147
"18:30","18:45",6,3,129,"jackson",120
"18:45","19:00",1,2,124,"jackson",121
"19:00","19:15",1,2,122,"jackson",119
"19:15","19:30",1,2,104,"jackson",101
"19:30","19:45",1,1,81,"jackson",79
"19:45","20:00",1,0,74,"jackson",73
"20:00","20:15",1,1,107,"jackson",105
"20:15","20:30",0,2,68,"jackson",66
"20:30","20:45",1,3,69,"jackson",65
"20:45","21:00",0,1,89,"jackson",88
