"horario.inicial","horario.final","local","onibus","caminhao","veiculos","carros","motos","total"
"06:00","06:15","bobs",0,0,30,30,33,63
"06:00","06:15","jackson",1,0,22,21,15,37
"06:15","06:30","bobs",1,3,55,51,47,102
"06:15","06:30","burrinhos",14,5,533,514,124,657
"06:15","06:30","jackson",5,2,37,30,32,69
"06:30","06:45","bobs",2,0,115,113,102,217
"06:30","06:45","burrinhos",10,7,439,422,216,655
"06:30","06:45","jackson",1,1,54,52,38,92
"06:45","07:00","bobs",0,0,170,170,134,304
"06:45","07:00","burrinhos",11,12,831,808,275,1106
"06:45","07:00","jackson",7,4,112,101,62,174
"07:00","07:15","bobs",1,0,187,186,145,332
"07:00","07:15","burrinhos",15,18,978,945,321,1299
"07:00","07:15","jackson",3,4,122,115,43,165
"07:15","07:30","bobs",0,1,157,156,103,260
"07:15","07:30","burrinhos",10,9,769,750,299,1068
"07:15","07:30","jackson",5,0,114,109,48,162
"07:30","07:45","bobs",0,2,141,139,89,230
"07:30","07:45","burrinhos",10,8,790,772,310,1100
"07:30","07:45","jackson",0,2,127,125,51,178
"07:45","08:00","bobs",0,2,150,148,155,305
"07:45","08:00","burrinhos",6,6,983,971,410,1393
"07:45","08:00","jackson",1,5,144,138,66,210
"08:00","08:15","bobs",0,1,166,165,115,281
"08:00","08:15","burrinhos",7,8,1113,1098,344,1457
"08:00","08:15","jackson",1,2,126,123,41,167
"08:15","08:30","bobs",0,6,172,166,73,245
"08:15","08:30","burrinhos",7,9,718,702,297,1015
"08:15","08:30","jackson",1,3,136,132,51,187
"08:30","08:45","bobs",0,3,123,120,120,243
"08:30","08:45","burrinhos",9,15,879,855,243,1122
"08:30","08:45","jackson",2,5,150,143,40,190
"08:45","09:00","bobs",0,4,162,158,56,218
"08:45","09:00","burrinhos",4,3,817,810,248,1065
"08:45","09:00","jackson",3,5,143,135,60,203
"09:00","09:15","bobs",1,1,132,130,51,183
"09:00","09:15","burrinhos",7,15,817,795,332,1149
"09:00","09:15","jackson",1,5,127,121,38,165
"09:15","09:30","bobs",0,0,123,123,49,172
"09:15","09:30","burrinhos",6,13,457,438,216,673
"09:15","09:30","jackson",3,2,137,132,50,187
"09:30","09:45","bobs",0,5,158,153,49,207
"09:30","09:45","burrinhos",5,14,628,609,329,957
"09:30","09:45","jackson",1,2,126,123,51,177
"09:45","10:00","bobs",0,2,126,124,44,170
"09:45","10:00","burrinhos",25,8,726,693,275,1001
"09:45","10:00","jackson",2,3,147,142,59,206
"10:00","10:15","bobs",0,3,144,141,64,208
"10:00","10:15","burrinhos",7,19,741,715,285,1026
"10:00","10:15","jackson",2,8,138,128,50,188
"10:15","10:30","bobs",0,1,135,134,61,196
"10:15","10:30","burrinhos",8,21,676,647,258,934
"10:15","10:30","jackson",3,2,118,113,61,179
"10:30","10:45","bobs",0,4,101,97,57,158
"10:30","10:45","burrinhos",4,25,586,557,270,856
"10:30","10:45","jackson",0,3,152,149,54,206
"10:45","11:00","bobs",0,3,114,111,64,178
"10:45","11:00","burrinhos",9,24,669,636,313,982
"10:45","11:00","jackson",4,8,159,147,48,207
"11:00","11:15","bobs",0,4,181,177,93,274
"11:00","11:15","burrinhos",5,16,714,693,375,1089
"11:00","11:15","jackson",3,5,138,130,67,205
"11:15","11:30","bobs",1,0,163,162,75,238
"11:15","11:30","burrinhos",15,41,764,708,352,1116
"11:15","11:30","jackson",2,1,142,139,55,197
"11:30","11:45","bobs",3,0,167,164,75,242
"11:30","11:45","burrinhos",13,21,674,640,394,1068
"11:30","11:45","jackson",3,4,175,168,78,253
"11:45","12:00","bobs",0,3,214,211,91,305
"11:45","12:00","burrinhos",16,18,806,772,364,1170
"11:45","12:00","jackson",3,7,160,150,67,227
"12:00","12:15","bobs",1,1,201,199,62,263
"12:00","12:15","burrinhos",4,7,665,654,362,1027
"12:00","12:15","jackson",0,4,173,169,74,247
"12:15","12:30","bobs",1,0,142,141,47,189
"12:15","12:30","burrinhos",3,4,719,712,372,1091
"12:15","12:30","jackson",4,4,163,155,45,208
"12:30","12:45","bobs",0,2,152,150,53,205
"12:30","12:45","burrinhos",6,6,853,841,312,1165
"12:30","12:45","jackson",1,4,121,116,51,172
"12:45","13:00","bobs",0,2,194,192,84,278
"12:45","13:00","burrinhos",3,3,833,827,355,1188
"12:45","13:00","jackson",4,4,126,118,47,173
"13:00","13:15","bobs",0,4,213,209,64,277
"13:00","13:15","burrinhos",3,3,792,786,366,1158
"13:00","13:15","jackson",2,3,138,133,59,197
"13:15","13:30","bobs",0,5,182,177,70,252
"13:15","13:30","burrinhos",2,5,739,732,339,1078
"13:15","13:30","jackson",3,6,149,140,64,213
"13:30","13:45","bobs",0,5,189,184,60,249
"13:30","13:45","burrinhos",2,9,709,698,314,1023
"13:30","13:45","jackson",2,4,134,128,50,184
"13:45","14:00","bobs",0,3,223,220,70,293
"13:45","14:00","burrinhos",0,2,797,795,370,1167
"13:45","14:00","jackson",0,2,153,151,58,211
"14:00","14:15","bobs",0,9,204,195,70,274
"14:00","14:15","burrinhos",2,10,912,900,430,1342
"14:00","14:15","jackson",2,7,171,162,52,223
"14:15","14:30","bobs",1,5,230,224,57,287
"14:15","14:30","burrinhos",3,12,859,844,312,1171
"14:15","14:30","jackson",2,0,151,149,45,196
"14:30","14:45","bobs",0,2,152,150,45,197
"14:30","14:45","burrinhos",4,13,778,761,329,1107
"14:30","14:45","jackson",1,5,135,129,64,199
"14:45","15:00","bobs",0,5,192,187,62,254
"14:45","15:00","burrinhos",4,11,766,751,340,1106
"14:45","15:00","jackson",2,3,144,139,65,209
"15:00","15:15","bobs",0,0,172,172,41,213
"15:00","15:15","burrinhos",4,5,732,723,336,1068
"15:00","15:15","jackson",3,2,136,131,48,184
"15:15","15:30","bobs",0,2,137,135,57,194
"15:15","15:30","burrinhos",9,15,723,699,338,1061
"15:15","15:30","jackson",1,3,164,160,48,212
"15:30","15:45","bobs",0,3,194,191,79,273
"15:30","15:45","burrinhos",5,10,759,744,352,1111
"15:30","15:45","jackson",2,7,130,121,63,193
"15:45","16:00","bobs",0,1,160,159,52,212
"15:45","16:00","burrinhos",7,12,733,714,360,1093
"15:45","16:00","jackson",3,4,152,145,36,188
"16:00","16:15","bobs",0,2,175,173,78,253
"16:00","16:15","burrinhos",6,12,736,718,371,1107
"16:00","16:15","jackson",0,4,172,168,61,233
"16:15","16:30","bobs",1,0,171,170,63,234
"16:15","16:30","burrinhos",5,13,839,821,318,1157
"16:15","16:30","jackson",1,4,165,160,64,229
"16:30","16:45","bobs",0,1,169,168,60,229
"16:30","16:45","burrinhos",5,20,642,617,345,987
"16:30","16:45","jackson",0,4,168,164,62,230
"16:45","17:00","bobs",0,2,207,205,96,303
"16:45","17:00","burrinhos",5,4,695,686,333,1028
"16:45","17:00","jackson",2,8,171,161,82,253
"17:00","17:15","bobs",0,0,191,191,100,291
"17:00","17:15","burrinhos",10,8,767,749,410,1177
"17:00","17:15","jackson",4,5,152,143,51,203
"17:15","17:30","bobs",2,2,185,181,61,246
"17:15","17:30","burrinhos",11,9,941,921,382,1323
"17:15","17:30","jackson",2,2,164,160,66,230
"17:30","17:45","bobs",2,1,212,209,69,281
"17:30","17:45","burrinhos",7,13,886,866,334,1220
"17:30","17:45","jackson",4,3,195,188,72,267
"17:45","18:00","bobs",1,1,192,190,76,268
"17:45","18:00","burrinhos",29,7,828,792,323,1151
"17:45","18:00","jackson",6,10,137,121,64,201
"18:00","18:15","bobs",0,0,215,215,90,305
"18:00","18:15","burrinhos",20,6,564,538,420,984
"18:00","18:15","jackson",7,0,132,125,70,202
"18:15","18:30","bobs",0,0,170,170,76,246
"18:15","18:30","burrinhos",24,9,586,553,301,887
"18:15","18:30","jackson",11,8,166,147,64,230
"18:30","18:45","bobs",2,1,184,181,82,266
"18:30","18:45","burrinhos",10,6,556,540,185,741
"18:30","18:45","jackson",6,3,129,120,61,190
"18:45","19:00","bobs",1,3,165,161,76,241
"18:45","19:00","burrinhos",5,4,448,439,259,707
"18:45","19:00","jackson",1,2,124,121,64,188
"19:00","19:15","bobs",0,0,116,116,64,180
"19:00","19:15","burrinhos",7,5,445,433,262,707
"19:00","19:15","jackson",1,2,122,119,49,171
"19:15","19:30","bobs",0,1,145,144,53,198
"19:15","19:30","burrinhos",0,4,322,318,178,500
"19:15","19:30","jackson",1,2,104,101,43,147
"19:30","19:45","bobs",0,1,155,154,38,193
"19:30","19:45","burrinhos",4,1,298,293,137,435
"19:30","19:45","jackson",1,1,81,79,36,117
"19:45","20:00","bobs",0,0,148,148,34,182
"19:45","20:00","burrinhos",2,1,254,251,154,408
"19:45","20:00","jackson",1,0,74,73,48,122
"20:00","20:15","bobs",0,0,109,109,49,158
"20:00","20:15","burrinhos",1,1,298,296,172,470
"20:00","20:15","jackson",1,1,107,105,45,152
"20:15","20:30","bobs",0,0,107,107,53,160
"20:15","20:30","burrinhos",1,1,235,233,109,344
"20:15","20:30","jackson",0,2,68,66,17,85
"20:30","20:45","bobs",0,1,106,105,39,145
"20:30","20:45","burrinhos",0,0,221,221,113,334
"20:30","20:45","jackson",1,3,69,65,32,101
"20:45","21:00","bobs",0,2,75,73,32,107
"20:45","21:00","burrinhos",0,1,280,279,131,411
"20:45","21:00","jackson",0,1,89,88,15,104
